order_id,time_to_deliver_days,diff_estimated_delivery_days
2b72a32a-2c3e-93fa-260c-a7655073886f,15,-15
3d087f98-b006-ae16-2b5e-3b56e7bfdb4a,18,-22
a7076e7a-ba13-de8b-66d9-5a55811290ed,7,-14
d7f4e2f7-55cf-2f40-aa7c-39804cfe01c4,12,-12
6f5a2dbe-5ccc-e73a-9d05-3a542baabd1c,11,-19
66f6b3a3-3b03-39ac-bf55-dd71977c4293,17,-16
2f246ee3-29fc-e693-2458-bc7a10625d2a,14,-19
d65c179a-817b-e229-77e2-63fbc1a4fef4,9,-17
2babe10c-e6bc-b68b-1e3b-d35e24424466,6,-5
ac64f79a-33bf-a575-fc5a-17e7926df3d5,3,-8
727412fa-f7ae-f5ef-3c7e-0f03350d80c7,20,-16
cedd898e-1a95-3e9a-8f3d-763a364f6717,8,-19
858505c5-992f-3542-9d07-aae37bad60a8,11,-25
6cb134bb-285a-64b0-425d-1fdaa00d4214,9,-16
f11e9516-ca2b-6091-b64f-2e2ea0ebebb3,34,9
4d4ef6cd-8147-028f-fd8c-18dc0f6e3050,7,-12
0438fc3e-1156-33e1-1a93-c878a1591016,9,-8
3faf126d-8a3b-0684-2727-91cd3c6cf3fe,10,-21
0b0f3c7a-9bcb-6ad1-fcca-b28f9240da6f,2,-10
65f78a0e-1f8b-80c4-f6d8-d5c6073b8601,6,-8
b7e4aca3-e798-d206-43fa-acb681272a9c,14,-14
b52d29ab-b97a-3978-df1d-8922bfe36fbe,12,-8
3f596c69-e8e7-8788-530d-898331118c7c,17,-9
0c228d92-5a49-aa5e-3b35-febb948f4f72,6,-9
6cc4eb51-469d-ec50-a613-0fe1cd07b7f9,11,0
4709741e-8297-7556-7b92-abc42437b461,11,-16
0341b600-65c4-9221-a272-93793f11b117,28,-4
25ebb07a-1069-a75d-3cb9-baf0a94f22d0,8,-15
c2d07d90-78b7-00b9-198a-126183867c16,7,-9
25d47ee9-a060-a035-9e8a-10a858fc39a1,24,-5
cf0ac4e1-2ad6-6c28-302f-c103670222fa,3,-10
43488f85-6ed3-fa3e-7d3f-8228755d383b,14,-18
32bda404-52bf-0485-c310-bca24eb53886,10,-11
2728209b-1b05-5353-3bce-4afc52716b60,8,-13
b335cf4d-393a-cc62-7b82-e83b3b3711fe,10,-13
59d34e10-6493-0d03-7d30-041b73683aa7,7,-13
6f6665c1-d76e-5556-1978-ccb45bdcafc6,7,-32
db5fdbee-9ab2-9d55-f24c-329246e6fe51,9,-15
9cf566da-5a32-7774-9dbd-61fa060e8110,14,-17
15fb9c74-5e91-eff5-482a-9af2a5fad0e6,11,-31
141ad019-2cfa-1617-4e4f-d0a1a7e7ba4a,2,-23
e5d931eb-d721-4cd4-92ff-f71fb6a2aeff,9,-22
78421478-64c0-4255-41ed-d55923f3c0f1,19,-5
6b7c5703-bdc0-3335-b370-20877a06625e,9,-12
cbbb524a-0e16-46aa-6cf7-a3c0bbe517ad,11,-52
77af7c6e-4254-9e58-f429-77d5be538d0d,11,-10
7e056455-7736-6863-a933-50aac5cc7de5,15,-19
ed01ce00-3df1-3cab-401b-a2ff57ea2542,8,-3
b7a4a9ec-b1cd-3ef6-a3e3-6a48e200e3be,20,-8
f09942b1-e141-9e69-f750-9158f2a9c1d6,7,-13
d10090be-5f75-fb89-b681-7469f0ce1a30,5,-42
5342acb7-b183-acec-77f5-9e4d78f7c804,26,0
72ee4a26-e767-e552-82ac-10e63c7b1227,16,-15
6cd474b8-1add-3c3d-6253-6cab3e34aa23,8,-8
4f7e398a-1ddb-1c34-9465-b42b6865c60b,10,-23
05387d53-7bd2-e502-7aad-bfb6a5123e4b,14,-9
